
 
     |                                       _reg[31]/D r |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_regbank_u_cm3_dpu_regfile_reg1 | 56.078   |   MET | aview_typ_25c | 
     |                                      _reg[31]/SI r |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_regbank_u_cm3_dpu_regfile_reg1 | 56.086   |   MET | aview_typ_25c | 
     |                                     2_reg[31]/SI r |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_regbank_u_cm3_dpu_regfile_reg3 | 56.178   |   MET | aview_typ_25c | 
     |                                      _reg[31]/SI r |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_fetch_u_cm3_dpu_fetch_ahbintf_ | 56.301   |   MET | aview_typ_25c | 
     |                               instr_de_reg[10]/D r |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_regbank_u_cm3_dpu_regfile_reg0 | 56.414   |   MET | aview_typ_25c | 
     |                                      _reg[31]/SI r |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_fetch_u_cm3_dpu_fetch_ahbintf_ | 56.498   |   MET | aview_typ_25c | 
     |                                instr_de_reg[9]/D r |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_regbank_u_cm3_dpu_regfile_reg1 | 56.514   |   MET | aview_typ_25c | 
     |                                     0_reg[31]/SI r |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_regbank_u_cm3_dpu_regfile_reg1 | 56.728   |   MET | aview_typ_25c | 
     |                                     4_reg[31]/SI r |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_fetch_u_cm3_dpu_fetch_ahbintf_ | 57.637   |   MET | aview_typ_25c | 
     |                               instr_de_reg[13]/D r |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_regbank_u_cm3_dpu_regfile_reg8 | 58.727   |   MET | aview_typ_25c | 
     |                                      _reg[30]/SI f |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_regbank_u_cm3_dpu_regfile_reg9 | 58.827   |   MET | aview_typ_25c | 
     |                                      _reg[30]/SI f |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_regbank_u_cm3_dpu_regfile_reg1 | 58.827   |   MET | aview_typ_25c | 
     |                                     0_reg[30]/SI f |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_regbank_u_cm3_dpu_regfile_reg2 | 58.927   |   MET | aview_typ_25c | 
     |                                      _reg[30]/SI f |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_regbank_u_cm3_dpu_regfile_reg1 | 58.927   |   MET | aview_typ_25c | 
     |                                     1_reg[30]/SI f |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_regbank_u_cm3_dpu_regfile_reg0 | 59.135   |   MET | aview_typ_25c | 
     |                                      _reg[30]/SI f |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_regbank_u_cm3_dpu_regfile_reg3 | 59.330   |   MET | aview_typ_25c | 
     |                                      _reg[30]/SI f |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_regbank_rf_pc_fwd_ex_reg[28]/S | 59.433   |   MET | aview_typ_25c | 
     |                                                I f |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_fetch_u_cm3_dpu_fetch_ahbintf_ | 59.780   |   MET | aview_typ_25c | 
     |                               instr_de_reg[26]/D r |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_regbank_u_cm3_dpu_regfile_reg4 | 59.871   |   MET | aview_typ_25c | 
     |                                      _reg[30]/SI f |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_regbank_u_cm3_dpu_regfile_reg7 | 60.440   |   MET | aview_typ_25c | 
     |                                       _reg[30]/D f |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_regbank_u_cm3_dpu_regfile_reg5 | 60.539   |   MET | aview_typ_25c | 
     |                                       _reg[30]/D f |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_fetch_u_cm3_dpu_fetch_ahbintf_ | 60.580   |   MET | aview_typ_25c | 
     |                                instr_de_reg[7]/D r |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_regbank_u_cm3_dpu_regfile_reg6 | 61.169   |   MET | aview_typ_25c | 
     |                                       _reg[30]/D f |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_regbank_u_cm3_dpu_regfile_reg1 | 61.190   |   MET | aview_typ_25c | 
     |                                      _reg[30]/SI f |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_regbank_u_cm3_dpu_regfile_reg1 | 62.638   |   MET | aview_typ_25c | 
     |                                     3_reg[30]/SI f |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_regbank_u_cm3_dpu_regfile_reg1 | 62.643   |   MET | aview_typ_25c | 
     |                                     2_reg[30]/SI f |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_regbank_u_cm3_dpu_regfile_reg1 | 64.340   |   MET | aview_typ_25c | 
     |                                      5_reg[30]/D f |          |       |               | 
     | u_cm3_bus_matrix_u_cm3_mtx_bit_master_addrbuf_addr | 64.608   |   MET | aview_typ_25c | 
     |                                      _reg[28]/SI f |          |       |               | 
